4046,9
4047,8
4048,4
4049,2
4050,5
4051,4
4052,8
4053,3
4054,5
4055,6
4056,9
4057,5
4058,3
4059,8
4060,6
4061,2
4062,10
4063,10
4064,8
4065,9
4066,3
4067,8
4068,9
4069,7
4070,5
4071,1
4072,4
4073,6
4074,10
4075,10
4076,5
4077,9
4078,2
4079,8
4080,6
4081,0
4082,7
4083,4
4084,9
4085,7
4086,0
4087,5
4088,9
4089,2
4090,3
4091,9
4092,2
4093,6
4094,2
4095,10
4096,8
4097,4
4098,0
4099,3
4100,5
4101,10
4102,1
4103,6
4104,7
4105,6
4106,8
4107,5
4108,10
4109,6
4110,6
4111,4
4112,6
4113,4
4114,6
4115,3
4116,2
4117,2
4118,6
4119,7
4120,5
4121,0
4122,8
4123,9
4124,10
4125,9
4126,9
4127,10
4128,5
4129,4
4130,7
4131,3
4132,8
4133,9
4134,9
4135,6
4136,10
4137,6
4138,4
4139,7
4140,10
4141,10
4142,8
4143,0
4144,6
4145,5
4146,6
4147,9
4148,2
4149,8
4150,1
4151,2
4152,8
4153,3
4154,8
4155,1
4156,1
4157,7
4158,0
4159,6
4160,10
4161,5
4162,7
4163,0
4164,6
4165,6
4166,6
4167,4
4168,4
4169,10
4170,0
4171,0
4172,10
4173,2
4174,1
4175,2
4176,8
4177,10
4178,0
4179,4
4180,1
4181,2
4182,2
4183,7
4184,3
4185,1
4186,5
4187,0
4188,1
4189,10
4190,2
4191,3
4192,8
4193,9
4194,10
4195,1
4196,7
4197,10
4198,0
4199,7
4200,9
4201,3
4202,2
4203,6
4204,4
4205,1
4206,5
4207,4
4208,6
4209,5
4210,3
4211,3
4212,9
4213,2
4214,6
4215,0
4216,8
4217,3
4218,0
4219,3
4220,2
4221,10
4222,3
4223,3
4224,3
4225,10
4226,6
4227,6
4228,7
4229,4
4230,4
4231,7
4232,0
4233,2
4234,3
4235,2
4236,7
4237,4
4238,9
4239,6
4240,4
4241,4
4242,7
4243,4
4244,7
4245,0
4246,4
4247,2
4248,1
